------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      3  |      1.1709  |     0.8623  |   0.8186  |               |              1.5767  |
|          |      4  |      1.1260  |     0.8896  |   0.8281  |               |              1.9354  |
|          |      5  |      1.0986  |     0.8975  |   0.8312  |               |              2.2933  |
|          |      6  |      1.0596  |     0.9141  |   0.8844  |               |              2.6514  |
|          |      7  |      1.0273  |     0.9268  |   0.8896  |               |              3.0099  |
|          |      8  |      0.9780  |     0.9580  |   0.9173  |               |              3.3680  |
|          |      9  |      0.9697  |     0.9639  |   0.9268  |               |              3.6970  |
|          |   eval  |      0.9697  |     0.9639  |   0.9268  |       0.9339  |              3.8556  |
------------------------------------------------------------------------------------------------------
|      14  |      0  |      1.3984  |     0.7197  |   0.5751  |               |              0.4024  |
|          |      1  |      1.2598  |     0.8027  |   0.7486  |               |              0.7943  |
|          |      2  |      1.2012  |     0.8359  |   0.7640  |               |              1.1892  |
|          |      3  |      1.1504  |     0.8535  |   0.8289  |               |              1.5473  |
|          |      4  |      1.1729  |     0.8477  |   0.8655  |               |              1.9055  |
|          |      5  |      1.0898  |     0.9023  |   0.8637  |               |              2.2634  |
|          |      6  |      1.0674  |     0.9053  |   0.8668  |               |              2.6212  |
|          |      7  |      1.0264  |     0.9326  |   0.8919  |               |              2.9791  |
|          |      8  |      0.9893  |     0.9521  |   0.9183  |               |              3.3378  |
|          |      9  |      0.9580  |     0.9697  |   0.9295  |               |              3.6673  |
|          |   eval  |      0.9580  |     0.9697  |   0.9295  |       0.9356  |              3.8257  |
------------------------------------------------------------------------------------------------------
|      15  |      0  |      1.4277  |     0.7100  |   0.6594  |               |              0.4302  |
|          |      1  |      1.3223  |     0.7480  |   0.5768  |               |              0.8243  |
|          |      2  |      1.2158  |     0.8213  |   0.7699  |               |              1.2164  |
|          |      3  |      1.1650  |     0.8594  |   0.8276  |               |              1.5756  |
|          |      4  |      1.1523  |     0.8623  |   0.7926  |               |              1.9346  |
|          |      5  |      1.1309  |     0.8799  |   0.8474  |               |              2.2947  |
|          |      6  |      1.0312  |     0.9297  |   0.8630  |               |              2.6535  |
|          |      7  |      1.0146  |     0.9414  |   0.9029  |               |              3.0126  |
|          |      8  |      0.9858  |     0.9678  |   0.9158  |               |              3.3706  |
|          |      9  |      0.9609  |     0.9697  |   0.9280  |               |              3.7014  |
|          |   eval  |      0.9609  |     0.9697  |   0.9280  |       0.9351  |              3.8610  |
------------------------------------------------------------------------------------------------------
|      16  |      0  |      1.4658  |     0.6963  |   0.5774  |               |              0.4308  |
|          |      1  |      1.2949  |     0.8008  |   0.7514  |               |              0.8251  |
|          |      2  |      1.2090  |     0.8428  |   0.8025  |               |              1.2217  |
|          |      3  |      1.1494  |     0.8711  |   0.7910  |               |              1.5815  |
|          |      4  |      1.1377  |     0.8643  |   0.8374  |               |              1.9421  |
|          |      5  |      1.1221  |     0.8721  |   0.8216  |               |              2.3018  |
|          |      6  |      1.0518  |     0.9180  |   0.8701  |               |              2.6607  |
|          |      7  |      1.0225  |     0.9287  |   0.8995  |               |              3.0200  |
|          |      8  |      0.9971  |     0.9424  |   0.9162  |               |              3.3800  |
|          |      9  |      0.9507  |     0.9785  |   0.9267  |               |              3.7101  |
|          |   eval  |      0.9507  |     0.9785  |   0.9267  |       0.9359  |              3.8692  |
------------------------------------------------------------------------------------------------------
|      17  |      0  |      1.4385  |     0.7119  |   0.6891  |               |              0.4276  |
|          |      1  |      1.2695  |     0.8037  |   0.7896  |               |              0.8203  |
|          |      2  |      1.1934  |     0.8457  |   0.7941  |               |              1.2169  |
|          |      3  |      1.1895  |     0.8320  |   0.7342  |               |              1.5767  |
|          |      4  |      1.1426  |     0.8701  |   0.8623  |               |              1.9358  |
|          |      5  |      1.0801  |     0.9062  |   0.8479  |               |              2.2955  |
|          |      6  |      1.0645  |     0.9170  |   0.8887  |               |              2.6541  |
|          |      7  |      1.0410  |     0.9268  |   0.8863  |               |              3.0167  |
|          |      8  |      0.9863  |     0.9531  |   0.9169  |               |              3.3754  |
|          |      9  |      0.9536  |     0.9746  |   0.9269  |               |              3.7066  |
|          |   eval  |      0.9536  |     0.9746  |   0.9269  |       0.9362  |              3.8672  |
------------------------------------------------------------------------------------------------------
|      18  |      0  |      1.4492  |     0.6992  |   0.6624  |               |              0.4064  |
|          |      1  |      1.2793  |     0.8018  |   0.6716  |               |              0.8033  |
|          |      2  |      1.2041  |     0.8369  |   0.7529  |               |              1.1972  |
|          |      3  |      1.1953  |     0.8320  |   0.8136  |               |              1.5581  |
|          |      4  |      1.1631  |     0.8623  |   0.8507  |               |              1.9185  |
|          |      5  |      1.1240  |     0.8779  |   0.7473  |               |              2.2798  |
|          |      6  |      1.0674  |     0.9062  |   0.8645  |               |              2.6401  |
|          |      7  |      1.0322  |     0.9307  |   0.8840  |               |              3.0006  |
|          |      8  |      0.9839  |     0.9531  |   0.9140  |               |              3.3610  |
|          |      9  |      0.9521  |     0.9727  |   0.9299  |               |              3.6927  |
|          |   eval  |      0.9521  |     0.9727  |   0.9299  |       0.9364  |              3.8514  |
------------------------------------------------------------------------------------------------------
|      19  |      0  |      1.4248  |     0.7139  |   0.6175  |               |              0.4098  |
|          |      1  |      1.3057  |     0.7812  |   0.7132  |               |              0.8062  |
|          |      2  |      1.2158  |     0.8330  |   0.7492  |               |              1.2046  |
|          |      3  |      1.1611  |     0.8633  |   0.8032  |               |              1.5664  |
|          |      4  |      1.1377  |     0.8740  |   0.8569  |               |              1.9268  |
|          |      5  |      1.1338  |     0.8691  |   0.8285  |               |              2.2875  |
|          |      6  |      1.0684  |     0.9043  |   0.8748  |               |              2.6474  |
|          |      7  |      1.0293  |     0.9316  |   0.8947  |               |              3.0095  |
|          |      8  |      0.9849  |     0.9541  |   0.9218  |               |              3.3704  |
|          |      9  |      0.9673  |     0.9678  |   0.9289  |               |              3.7013  |
|          |   eval  |      0.9673  |     0.9678  |   0.9289  |       0.9371  |              3.8604  |
------------------------------------------------------------------------------------------------------
|      20  |      0  |      1.4990  |     0.6748  |   0.6546  |               |              0.3985  |
|          |      1  |      1.2773  |     0.8096  |   0.7328  |               |              0.7941  |
|          |      2  |      1.2031  |     0.8477  |   0.7845  |               |              1.1931  |
|          |      3  |      1.1758  |     0.8438  |   0.7840  |               |              1.5550  |
|          |      4  |      1.1299  |     0.8799  |   0.8337  |               |              1.9145  |
|          |      5  |      1.1230  |     0.8711  |   0.8489  |               |              2.2755  |
|          |      6  |      1.0557  |     0.9121  |   0.8933  |               |              2.6379  |
|          |      7  |      1.0430  |     0.9189  |   0.8868  |               |              2.9989  |
|          |      8  |      1.0010  |     0.9463  |   0.9171  |               |              3.3584  |
|          |      9  |      0.9629  |     0.9688  |   0.9297  |               |              3.6911  |
|          |   eval  |      0.9629  |     0.9688  |   0.9297  |       0.9372  |              3.8513  |
------------------------------------------------------------------------------------------------------
|      21  |      0  |      1.4102  |     0.7119  |   0.6500  |               |              0.4038  |
|          |      1  |      1.2705  |     0.8184  |   0.7681  |               |              0.8005  |
|          |      2  |      1.2021  |     0.8408  |   0.8330  |               |              1.1988  |
|          |      3  |      1.1582  |     0.8740  |   0.7515  |               |              1.5605  |
|          |      4  |      1.1553  |     0.8662  |   0.8492  |               |              1.9220  |
|          |      5  |      1.1143  |     0.8779  |   0.8195  |               |              2.2843  |
|          |      6  |      1.0439  |     0.9189  |   0.8779  |               |              2.6448  |
|          |      7  |      1.0205  |     0.9346  |   0.8956  |               |              3.0070  |
|          |      8  |      0.9878  |     0.9473  |   0.9169  |               |              3.3676  |
|          |      9  |      0.9648  |     0.9639  |   0.9266  |               |              3.6992  |
|          |   eval  |      0.9648  |     0.9639  |   0.9266  |       0.9338  |              3.8595  |
------------------------------------------------------------------------------------------------------
|      22  |      0  |      1.4131  |     0.7041  |   0.6397  |               |              0.3979  |
|          |      1  |      1.2988  |     0.7930  |   0.6751  |               |              0.7949  |
|          |      2  |      1.2275  |     0.8291  |   0.7126  |               |              1.1950  |
|          |      3  |      1.2080  |     0.8330  |   0.7909  |               |              1.5555  |
|          |      4  |      1.1523  |     0.8613  |   0.8293  |               |              1.9212  |
|          |      5  |      1.1328  |     0.8701  |   0.8598  |               |              2.2832  |
|          |      6  |      1.0400  |     0.9199  |   0.8836  |               |              2.6434  |
|          |      7  |      1.0400  |     0.9287  |   0.8936  |               |              3.0064  |
|          |      8  |      0.9854  |     0.9580  |   0.9197  |               |              3.3684  |
|          |      9  |      0.9541  |     0.9707  |   0.9284  |               |              3.7019  |
|          |   eval  |      0.9541  |     0.9707  |   0.9284  |       0.9365  |              3.8630  |
------------------------------------------------------------------------------------------------------
|      23  |      0  |      1.4043  |     0.7275  |   0.6947  |               |              0.3990  |
|          |      1  |      1.3125  |     0.7695  |   0.7129  |               |              0.7966  |
|          |      2  |      1.2021  |     0.8398  |   0.7259  |               |              1.1941  |
|          |      3  |      1.1641  |     0.8555  |   0.7712  |               |              1.5569  |
|          |      4  |      1.1650  |     0.8496  |   0.8381  |               |              1.9199  |
|          |      5  |      1.1104  |     0.8848  |   0.8750  |               |              2.2822  |
|          |      6  |      1.0801  |     0.9004  |   0.8822  |               |              2.6434  |
|          |      7  |      1.0439  |     0.9248  |   0.8969  |               |              3.0068  |
|          |      8  |      0.9907  |     0.9521  |   0.9177  |               |              3.3682  |
|          |      9  |      0.9556  |     0.9707  |   0.9305  |               |              3.7011  |
|          |   eval  |      0.9556  |     0.9707  |   0.9305  |       0.9364  |              3.8623  |
------------------------------------------------------------------------------------------------------
|      24  |      0  |      1.4258  |     0.7100  |   0.7111  |               |              0.4334  |
|          |      1  |      1.2656  |     0.8076  |   0.6987  |               |              0.8288  |
|          |      2  |      1.2236  |     0.8203  |   0.8077  |               |              1.2276  |
|          |      3  |      1.1865  |     0.8418  |   0.7542  |               |              1.5905  |
|          |      4  |      1.1328  |     0.8740  |   0.8581  |               |              1.9527  |
|          |      5  |      1.0889  |     0.9004  |   0.8456  |               |              2.3153  |
|          |      6  |      1.0615  |     0.9121  |   0.8764  |               |              2.6765  |
|          |      7  |      1.0234  |     0.9355  |   0.8956  |               |              3.0396  |
|          |      8  |      0.9761  |     0.9648  |   0.9231  |               |              3.4021  |
|          |      9  |      0.9614  |     0.9668  |   0.9295  |               |              3.7348  |
|          |   eval  |      0.9614  |     0.9668  |   0.9295  |       0.9367  |              3.8959  |
------------------------------------------------------------------------------------------------------
Mean accuracy: 0.9358    Std: 0.0011
Mean training time (s): 3.6776    Std: 0.0373
/workspace/ESE3060-Final-Project/logs/block2_group4/20251209-035105/log.pt
