------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      8  |      0.9624  |     0.9668  |   0.9221  |               |              3.5294  |
|          |      9  |      0.9521  |     0.9727  |   0.9317  |               |              3.8796  |
|          |   eval  |      0.9521  |     0.9727  |   0.9317  |       0.9396  |              4.0499  |
------------------------------------------------------------------------------------------------------
|      14  |      0  |      1.4023  |     0.7305  |   0.6769  |               |              0.4169  |
|          |      1  |      1.2666  |     0.8066  |   0.7633  |               |              0.8315  |
|          |      2  |      1.1953  |     0.8291  |   0.8126  |               |              1.2478  |
|          |      3  |      1.1299  |     0.8877  |   0.7931  |               |              1.6286  |
|          |      4  |      1.1729  |     0.8525  |   0.8599  |               |              2.0103  |
|          |      5  |      1.0967  |     0.8877  |   0.8602  |               |              2.3913  |
|          |      6  |      1.0400  |     0.9150  |   0.8943  |               |              2.7727  |
|          |      7  |      1.0107  |     0.9326  |   0.9078  |               |              3.1544  |
|          |      8  |      0.9790  |     0.9551  |   0.9228  |               |              3.5355  |
|          |      9  |      0.9341  |     0.9805  |   0.9346  |               |              3.8875  |
|          |   eval  |      0.9341  |     0.9805  |   0.9346  |       0.9396  |              4.0574  |
------------------------------------------------------------------------------------------------------
|      15  |      0  |      1.4229  |     0.7275  |   0.6482  |               |              0.4911  |
|          |      1  |      1.2734  |     0.8018  |   0.6446  |               |              0.9063  |
|          |      2  |      1.2295  |     0.8115  |   0.8004  |               |              1.3235  |
|          |      3  |      1.1455  |     0.8643  |   0.8151  |               |              1.7053  |
|          |      4  |      1.1494  |     0.8555  |   0.8153  |               |              2.0882  |
|          |      5  |      1.1162  |     0.8750  |   0.8543  |               |              2.4697  |
|          |      6  |      1.0312  |     0.9316  |   0.8734  |               |              2.8513  |
|          |      7  |      0.9976  |     0.9482  |   0.9044  |               |              3.2337  |
|          |      8  |      0.9697  |     0.9648  |   0.9230  |               |              3.6159  |
|          |      9  |      0.9468  |     0.9717  |   0.9322  |               |              3.9680  |
|          |   eval  |      0.9468  |     0.9717  |   0.9322  |       0.9432  |              4.1376  |
------------------------------------------------------------------------------------------------------
|      16  |      0  |      1.4629  |     0.6865  |   0.7110  |               |              0.4912  |
|          |      1  |      1.2744  |     0.7949  |   0.6999  |               |              0.9068  |
|          |      2  |      1.1934  |     0.8545  |   0.7988  |               |              1.3242  |
|          |      3  |      1.1260  |     0.8906  |   0.7711  |               |              1.7051  |
|          |      4  |      1.1211  |     0.8760  |   0.8646  |               |              2.0895  |
|          |      5  |      1.1016  |     0.8916  |   0.8513  |               |              2.4722  |
|          |      6  |      1.0391  |     0.9199  |   0.8901  |               |              2.8534  |
|          |      7  |      1.0059  |     0.9414  |   0.9030  |               |              3.2363  |
|          |      8  |      0.9805  |     0.9600  |   0.9211  |               |              3.6178  |
|          |      9  |      0.9355  |     0.9814  |   0.9303  |               |              3.9688  |
|          |   eval  |      0.9355  |     0.9814  |   0.9303  |       0.9388  |              4.1392  |
------------------------------------------------------------------------------------------------------
|      17  |      0  |      1.4658  |     0.7041  |   0.7054  |               |              0.4861  |
|          |      1  |      1.2461  |     0.8086  |   0.7670  |               |              0.9035  |
|          |      2  |      1.1963  |     0.8408  |   0.7898  |               |              1.3213  |
|          |      3  |      1.1885  |     0.8428  |   0.7786  |               |              1.7056  |
|          |      4  |      1.1299  |     0.8779  |   0.8404  |               |              2.0886  |
|          |      5  |      1.0713  |     0.9072  |   0.8718  |               |              2.4718  |
|          |      6  |      1.0527  |     0.9316  |   0.8891  |               |              2.8556  |
|          |      7  |      1.0264  |     0.9268  |   0.8974  |               |              3.2384  |
|          |      8  |      0.9731  |     0.9600  |   0.9222  |               |              3.6214  |
|          |      9  |      0.9424  |     0.9756  |   0.9319  |               |              3.9725  |
|          |   eval  |      0.9424  |     0.9756  |   0.9319  |       0.9394  |              4.1441  |
------------------------------------------------------------------------------------------------------
|      18  |      0  |      1.4268  |     0.7207  |   0.6774  |               |              0.4189  |
|          |      1  |      1.2471  |     0.8154  |   0.6701  |               |              0.8348  |
|          |      2  |      1.1992  |     0.8223  |   0.8270  |               |              1.2545  |
|          |      3  |      1.1670  |     0.8594  |   0.8177  |               |              1.6375  |
|          |      4  |      1.1299  |     0.8721  |   0.8689  |               |              2.0197  |
|          |      5  |      1.1025  |     0.8857  |   0.7588  |               |              2.4028  |
|          |      6  |      1.0547  |     0.9121  |   0.8833  |               |              2.7862  |
|          |      7  |      1.0156  |     0.9434  |   0.8985  |               |              3.1697  |
|          |      8  |      0.9697  |     0.9570  |   0.9196  |               |              3.5526  |
|          |      9  |      0.9380  |     0.9746  |   0.9328  |               |              3.9045  |
|          |   eval  |      0.9380  |     0.9746  |   0.9328  |       0.9420  |              4.0748  |
------------------------------------------------------------------------------------------------------
|      19  |      0  |      1.4219  |     0.7100  |   0.6051  |               |              0.4764  |
|          |      1  |      1.2578  |     0.8154  |   0.7261  |               |              0.8946  |
|          |      2  |      1.2041  |     0.8379  |   0.6713  |               |              1.3140  |
|          |      3  |      1.1592  |     0.8525  |   0.8233  |               |              1.6987  |
|          |      4  |      1.1299  |     0.8779  |   0.8703  |               |              2.0823  |
|          |      5  |      1.1133  |     0.8809  |   0.8446  |               |              2.4669  |
|          |      6  |      1.0576  |     0.9082  |   0.8833  |               |              2.8504  |
|          |      7  |      1.0176  |     0.9424  |   0.9082  |               |              3.2353  |
|          |      8  |      0.9731  |     0.9551  |   0.9210  |               |              3.6192  |
|          |      9  |      0.9541  |     0.9648  |   0.9323  |               |              3.9728  |
|          |   eval  |      0.9541  |     0.9648  |   0.9323  |       0.9392  |              4.1428  |
------------------------------------------------------------------------------------------------------
|      20  |      0  |      1.4658  |     0.6953  |   0.6139  |               |              0.4207  |
|          |      1  |      1.2412  |     0.8242  |   0.7002  |               |              0.8392  |
|          |      2  |      1.1846  |     0.8477  |   0.8022  |               |              1.2591  |
|          |      3  |      1.1504  |     0.8506  |   0.7988  |               |              1.6423  |
|          |      4  |      1.1201  |     0.8682  |   0.8120  |               |              2.0274  |
|          |      5  |      1.1045  |     0.8799  |   0.8365  |               |              2.4106  |
|          |      6  |      1.0420  |     0.9219  |   0.8943  |               |              2.7932  |
|          |      7  |      1.0322  |     0.9316  |   0.9012  |               |              3.1786  |
|          |      8  |      0.9771  |     0.9531  |   0.9245  |               |              3.5608  |
|          |      9  |      0.9419  |     0.9756  |   0.9328  |               |              3.9139  |
|          |   eval  |      0.9419  |     0.9756  |   0.9328  |       0.9397  |              4.0863  |
------------------------------------------------------------------------------------------------------
|      21  |      0  |      1.4092  |     0.7158  |   0.6283  |               |              0.4705  |
|          |      1  |      1.2627  |     0.8135  |   0.7584  |               |              0.8902  |
|          |      2  |      1.1865  |     0.8506  |   0.7374  |               |              1.3081  |
|          |      3  |      1.1484  |     0.8672  |   0.7892  |               |              1.6927  |
|          |      4  |      1.1074  |     0.8906  |   0.8733  |               |              2.0770  |
|          |      5  |      1.0957  |     0.9014  |   0.8481  |               |              2.4611  |
|          |      6  |      1.0312  |     0.9355  |   0.8775  |               |              2.8458  |
|          |      7  |      0.9961  |     0.9492  |   0.8952  |               |              3.2297  |
|          |      8  |      0.9624  |     0.9619  |   0.9197  |               |              3.6143  |
