------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      6  |      1.0664  |     0.9111  |   0.8700  |               |              2.0298  |
|          |      7  |      1.0576  |     0.9150  |   0.8971  |               |              2.3057  |
|          |      8  |      1.0049  |     0.9434  |   0.9095  |               |              2.5806  |
|          |      9  |      0.9536  |     0.9697  |   0.9253  |               |              2.8340  |
|          |   eval  |      0.9536  |     0.9697  |   0.9253  |       0.9294  |              2.9593  |
------------------------------------------------------------------------------------------------------
|      10  |      0  |      1.4199  |     0.7178  |   0.6643  |               |              0.3424  |
|          |      1  |      1.2754  |     0.7900  |   0.7459  |               |              0.6515  |
|          |      2  |      1.2129  |     0.8232  |   0.7293  |               |              0.9595  |
|          |      3  |      1.1816  |     0.8467  |   0.7853  |               |              1.2367  |
|          |      4  |      1.1621  |     0.8584  |   0.8614  |               |              1.5126  |
|          |      5  |      1.1201  |     0.8789  |   0.7956  |               |              1.7889  |
|          |      6  |      1.0801  |     0.8994  |   0.8396  |               |              2.0649  |
|          |      7  |      1.0527  |     0.9131  |   0.8889  |               |              2.3415  |
|          |      8  |      1.0078  |     0.9395  |   0.9130  |               |              2.6180  |
|          |      9  |      0.9639  |     0.9717  |   0.9238  |               |              2.8719  |
|          |   eval  |      0.9639  |     0.9717  |   0.9238  |       0.9303  |              2.9961  |
------------------------------------------------------------------------------------------------------
|      11  |      0  |      1.4658  |     0.6904  |   0.6386  |               |              0.3703  |
|          |      1  |      1.3223  |     0.7646  |   0.6444  |               |              0.6797  |
|          |      2  |      1.2002  |     0.8252  |   0.8015  |               |              0.9879  |
|          |      3  |      1.1729  |     0.8594  |   0.7808  |               |              1.2646  |
|          |      4  |      1.1729  |     0.8418  |   0.8119  |               |              1.5400  |
|          |      5  |      1.1211  |     0.8779  |   0.8350  |               |              1.8152  |
|          |      6  |      1.0684  |     0.9121  |   0.8779  |               |              2.0923  |
|          |      7  |      1.0605  |     0.9033  |   0.8806  |               |              2.3694  |
|          |      8  |      1.0293  |     0.9268  |   0.9104  |               |              2.6448  |
|          |      9  |      0.9727  |     0.9629  |   0.9263  |               |              2.8998  |
|          |   eval  |      0.9727  |     0.9629  |   0.9263  |       0.9328  |              3.0246  |
------------------------------------------------------------------------------------------------------
|      12  |      0  |      1.4053  |     0.7061  |   0.6611  |               |              0.3558  |
|          |      1  |      1.2842  |     0.8018  |   0.7168  |               |              0.6638  |
|          |      2  |      1.2109  |     0.8350  |   0.7382  |               |              0.9731  |
|          |      3  |      1.1973  |     0.8320  |   0.6893  |               |              1.2490  |
|          |      4  |      1.1484  |     0.8652  |   0.8087  |               |              1.5251  |
|          |      5  |      1.1250  |     0.8818  |   0.8720  |               |              1.8003  |
|          |      6  |      1.0654  |     0.9189  |   0.8768  |               |              2.0747  |
|          |      7  |      1.0547  |     0.9209  |   0.8946  |               |              2.3513  |
|          |      8  |      0.9985  |     0.9512  |   0.9143  |               |              2.6268  |
|          |      9  |      0.9673  |     0.9668  |   0.9246  |               |              2.8807  |
|          |   eval  |      0.9673  |     0.9668  |   0.9246  |       0.9322  |              3.0055  |
------------------------------------------------------------------------------------------------------
|      13  |      0  |      1.4404  |     0.6904  |   0.5924  |               |              0.3844  |
|          |      1  |      1.3086  |     0.7734  |   0.6434  |               |              0.6934  |
|          |      2  |      1.2695  |     0.7939  |   0.7800  |               |              1.0034  |
|          |      3  |      1.1846  |     0.8467  |   0.8139  |               |              1.2797  |
|          |      4  |      1.1543  |     0.8643  |   0.8559  |               |              1.5557  |
|          |      5  |      1.1094  |     0.8789  |   0.8020  |               |              1.8327  |
|          |      6  |      1.0703  |     0.9170  |   0.8574  |               |              2.1090  |
|          |      7  |      1.0459  |     0.9141  |   0.8972  |               |              2.3851  |
|          |      8  |      0.9980  |     0.9482  |   0.9119  |               |              2.6621  |
|          |      9  |      0.9829  |     0.9590  |   0.9241  |               |              2.9176  |
|          |   eval  |      0.9829  |     0.9590  |   0.9241  |       0.9343  |              3.0417  |
------------------------------------------------------------------------------------------------------
|      14  |      0  |      1.3994  |     0.7227  |   0.7012  |               |              0.3668  |
|          |      1  |      1.2734  |     0.7998  |   0.7175  |               |              0.6762  |
|          |      2  |      1.2227  |     0.8184  |   0.7789  |               |              0.9862  |
|          |      3  |      1.1475  |     0.8662  |   0.7996  |               |              1.2641  |
|          |      4  |      1.1787  |     0.8477  |   0.8372  |               |              1.5399  |
|          |      5  |      1.1133  |     0.8896  |   0.8489  |               |              1.8174  |
|          |      6  |      1.0693  |     0.8984  |   0.8756  |               |              2.0944  |
|          |      7  |      1.0391  |     0.9199  |   0.8898  |               |              2.3705  |
|          |      8  |      1.0049  |     0.9453  |   0.9126  |               |              2.6461  |
|          |      9  |      0.9697  |     0.9619  |   0.9245  |               |              2.9026  |
|          |   eval  |      0.9697  |     0.9619  |   0.9245  |       0.9309  |              3.0268  |
------------------------------------------------------------------------------------------------------
|      15  |      0  |      1.4404  |     0.7061  |   0.6626  |               |              0.3565  |
|          |      1  |      1.3223  |     0.7559  |   0.6305  |               |              0.6644  |
|          |      2  |      1.2246  |     0.8174  |   0.7789  |               |              0.9749  |
|          |      3  |      1.1807  |     0.8486  |   0.7973  |               |              1.2520  |
|          |      4  |      1.1758  |     0.8428  |   0.7633  |               |              1.5284  |
|          |      5  |      1.1406  |     0.8633  |   0.8303  |               |              1.8057  |
|          |      6  |      1.0508  |     0.9189  |   0.8681  |               |              2.0820  |
|          |      7  |      1.0137  |     0.9473  |   0.8940  |               |              2.3593  |
|          |      8  |      0.9976  |     0.9463  |   0.9128  |               |              2.6353  |
|          |      9  |      0.9795  |     0.9580  |   0.9234  |               |              2.8897  |
|          |   eval  |      0.9795  |     0.9580  |   0.9234  |       0.9303  |              3.0157  |
------------------------------------------------------------------------------------------------------
|      16  |      0  |      1.4434  |     0.7080  |   0.6847  |               |              0.3804  |
|          |      1  |      1.2930  |     0.7832  |   0.6930  |               |              0.6885  |
|          |      2  |      1.2178  |     0.8398  |   0.7789  |               |              1.0005  |
|          |      3  |      1.1621  |     0.8564  |   0.7526  |               |              1.2770  |
|          |      4  |      1.1377  |     0.8662  |   0.8309  |               |              1.5530  |
|          |      5  |      1.1279  |     0.8799  |   0.8314  |               |              1.8304  |
|          |      6  |      1.0605  |     0.9092  |   0.8802  |               |              2.1081  |
|          |      7  |      1.0293  |     0.9287  |   0.8895  |               |              2.3847  |
|          |      8  |      1.0059  |     0.9355  |   0.9012  |               |              2.6607  |
|          |      9  |      0.9668  |     0.9629  |   0.9233  |               |              2.9176  |
|          |   eval  |      0.9668  |     0.9629  |   0.9233  |       0.9319  |              3.0431  |
------------------------------------------------------------------------------------------------------
|      17  |      0  |      1.4746  |     0.6895  |   0.6775  |               |              0.3517  |
|          |      1  |      1.2666  |     0.8096  |   0.7650  |               |              0.6624  |
|          |      2  |      1.1914  |     0.8457  |   0.7955  |               |              0.9720  |
|          |      3  |      1.2041  |     0.8213  |   0.8032  |               |              1.2490  |
|          |      4  |      1.1504  |     0.8623  |   0.8392  |               |              1.5252  |
|          |      5  |      1.0938  |     0.8975  |   0.8466  |               |              1.8027  |
|          |      6  |      1.0840  |     0.9062  |   0.8659  |               |              2.0799  |
|          |      7  |      1.0469  |     0.9209  |   0.8610  |               |              2.3570  |
|          |      8  |      1.0049  |     0.9434  |   0.9149  |               |              2.6321  |
|          |      9  |      0.9736  |     0.9609  |   0.9229  |               |              2.8867  |
|          |   eval  |      0.9736  |     0.9609  |   0.9229  |       0.9325  |              3.0128  |
------------------------------------------------------------------------------------------------------
|      18  |      0  |      1.4443  |     0.6943  |   0.6068  |               |              0.3747  |
|          |      1  |      1.2578  |     0.8066  |   0.7310  |               |              0.6861  |
|          |      2  |      1.2109  |     0.8311  |   0.8084  |               |              0.9961  |
|          |      3  |      1.1836  |     0.8447  |   0.7996  |               |              1.2741  |
|          |      4  |      1.1689  |     0.8525  |   0.8403  |               |              1.5514  |
|          |      5  |      1.1494  |     0.8535  |   0.7527  |               |              1.8303  |
|          |      6  |      1.0820  |     0.8955  |   0.8465  |               |              2.1076  |
|          |      7  |      1.0371  |     0.9268  |   0.8755  |               |              2.3849  |
