------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      9  |      0.9233  |     0.9873  |   0.9331  |               |              3.8440  |
|          |   eval  |      0.9233  |     0.9873  |   0.9331  |       0.9394  |              4.0128  |
------------------------------------------------------------------------------------------------------
|      15  |      0  |      1.4082  |     0.7119  |   0.6637  |               |              0.4124  |
|          |      1  |      1.2715  |     0.7959  |   0.7424  |               |              0.8213  |
|          |      2  |      1.1836  |     0.8447  |   0.7874  |               |              1.2364  |
|          |      3  |      1.1445  |     0.8701  |   0.8161  |               |              1.6153  |
|          |      4  |      1.1162  |     0.8838  |   0.8605  |               |              1.9951  |
|          |      5  |      1.0840  |     0.9014  |   0.7641  |               |              2.3745  |
|          |      6  |      1.0273  |     0.9307  |   0.8666  |               |              2.7534  |
|          |      7  |      1.0225  |     0.9248  |   0.8880  |               |              3.1315  |
|          |      8  |      0.9653  |     0.9639  |   0.9156  |               |              3.5107  |
|          |      9  |      0.9302  |     0.9854  |   0.9315  |               |              3.8590  |
|          |   eval  |      0.9302  |     0.9854  |   0.9315  |       0.9401  |              4.0282  |
------------------------------------------------------------------------------------------------------
|      16  |      0  |      1.3945  |     0.7236  |   0.6950  |               |              0.4394  |
|          |      1  |      1.2715  |     0.7969  |   0.7350  |               |              0.8506  |
|          |      2  |      1.1895  |     0.8418  |   0.8084  |               |              1.2658  |
|          |      3  |      1.1201  |     0.8809  |   0.8427  |               |              1.6447  |
|          |      4  |      1.1113  |     0.8926  |   0.8567  |               |              2.0238  |
|          |      5  |      1.0723  |     0.9043  |   0.8555  |               |              2.4012  |
|          |      6  |      1.0352  |     0.9180  |   0.8781  |               |              2.7799  |
|          |      7  |      1.0371  |     0.9268  |   0.8968  |               |              3.1576  |
|          |      8  |      0.9746  |     0.9541  |   0.9110  |               |              3.5361  |
|          |      9  |      0.9272  |     0.9805  |   0.9307  |               |              3.8838  |
|          |   eval  |      0.9272  |     0.9805  |   0.9307  |       0.9384  |              4.0542  |
------------------------------------------------------------------------------------------------------
|      17  |      0  |      1.4189  |     0.7236  |   0.5693  |               |              0.4178  |
|          |      1  |      1.2510  |     0.8115  |   0.7355  |               |              0.8302  |
|          |      2  |      1.2217  |     0.8281  |   0.7835  |               |              1.2438  |
|          |      3  |      1.1680  |     0.8535  |   0.7733  |               |              1.6230  |
|          |      4  |      1.1162  |     0.8818  |   0.8559  |               |              2.0030  |
|          |      5  |      1.0811  |     0.8945  |   0.8653  |               |              2.3825  |
|          |      6  |      1.0430  |     0.9111  |   0.8955  |               |              2.7637  |
|          |      7  |      1.0098  |     0.9404  |   0.8837  |               |              3.1434  |
|          |      8  |      0.9824  |     0.9531  |   0.9166  |               |              3.5218  |
|          |      9  |      0.9287  |     0.9854  |   0.9308  |               |              3.8692  |
|          |   eval  |      0.9287  |     0.9854  |   0.9308  |       0.9374  |              4.0405  |
------------------------------------------------------------------------------------------------------
|      18  |      0  |      1.3789  |     0.7500  |   0.6734  |               |              0.4174  |
|          |      1  |      1.2686  |     0.7969  |   0.7440  |               |              0.8283  |
|          |      2  |      1.1953  |     0.8369  |   0.7645  |               |              1.2433  |
|          |      3  |      1.1523  |     0.8525  |   0.8330  |               |              1.6222  |
|          |      4  |      1.1094  |     0.8887  |   0.8274  |               |              2.0016  |
|          |      5  |      1.0859  |     0.8975  |   0.8455  |               |              2.3800  |
|          |      6  |      1.0439  |     0.9180  |   0.8690  |               |              2.7593  |
|          |      7  |      1.0146  |     0.9346  |   0.8955  |               |              3.1384  |
|          |      8  |      0.9785  |     0.9502  |   0.9163  |               |              3.5184  |
|          |      9  |      0.9243  |     0.9863  |   0.9336  |               |              3.8653  |
|          |   eval  |      0.9243  |     0.9863  |   0.9336  |       0.9401  |              4.0355  |
------------------------------------------------------------------------------------------------------
|      19  |      0  |      1.4932  |     0.6680  |   0.5855  |               |              0.4155  |
|          |      1  |      1.3047  |     0.7842  |   0.6587  |               |              0.8278  |
|          |      2  |      1.1875  |     0.8506  |   0.8038  |               |              1.2423  |
|          |      3  |      1.1299  |     0.8760  |   0.8073  |               |              1.6222  |
|          |      4  |      1.1211  |     0.8838  |   0.8535  |               |              2.0030  |
|          |      5  |      1.0879  |     0.8945  |   0.8527  |               |              2.3829  |
|          |      6  |      1.0449  |     0.9258  |   0.8829  |               |              2.7638  |
|          |      7  |      1.0225  |     0.9297  |   0.8877  |               |              3.1444  |
|          |      8  |      0.9668  |     0.9697  |   0.9191  |               |              3.5259  |
|          |      9  |      0.9321  |     0.9805  |   0.9336  |               |              3.8753  |
|          |   eval  |      0.9321  |     0.9805  |   0.9336  |       0.9390  |              4.0437  |
------------------------------------------------------------------------------------------------------
|      20  |      0  |      1.3975  |     0.7441  |   0.6177  |               |              0.4166  |
|          |      1  |      1.2363  |     0.8242  |   0.7434  |               |              0.8298  |
|          |      2  |      1.1650  |     0.8711  |   0.8001  |               |              1.2438  |
|          |      3  |      1.1387  |     0.8809  |   0.8191  |               |              1.6240  |
|          |      4  |      1.0918  |     0.9043  |   0.8571  |               |              2.0058  |
|          |      5  |      1.0781  |     0.9033  |   0.8584  |               |              2.3856  |
|          |      6  |      1.0645  |     0.9043  |   0.8829  |               |              2.7663  |
|          |      7  |      1.0225  |     0.9238  |   0.8942  |               |              3.1463  |
|          |      8  |      0.9658  |     0.9609  |   0.9207  |               |              3.5277  |
|          |      9  |      0.9321  |     0.9834  |   0.9319  |               |              3.8760  |
|          |   eval  |      0.9321  |     0.9834  |   0.9319  |       0.9389  |              4.0458  |
------------------------------------------------------------------------------------------------------
|      21  |      0  |      1.3994  |     0.7129  |   0.6882  |               |              0.4154  |
|          |      1  |      1.2412  |     0.8184  |   0.8051  |               |              0.8266  |
|          |      2  |      1.1865  |     0.8447  |   0.7867  |               |              1.2413  |
|          |      3  |      1.1465  |     0.8613  |   0.8106  |               |              1.6200  |
|          |      4  |      1.1182  |     0.8799  |   0.8282  |               |              2.0007  |
|          |      5  |      1.1035  |     0.8838  |   0.8499  |               |              2.3808  |
|          |      6  |      1.0303  |     0.9268  |   0.8884  |               |              2.7609  |
|          |      7  |      1.0020  |     0.9443  |   0.8996  |               |              3.1407  |
|          |      8  |      0.9492  |     0.9736  |   0.9151  |               |              3.5202  |
|          |      9  |      0.9287  |     0.9805  |   0.9294  |               |              3.8688  |
|          |   eval  |      0.9287  |     0.9805  |   0.9294  |       0.9363  |              4.0402  |
------------------------------------------------------------------------------------------------------
|      22  |      0  |      1.4209  |     0.7129  |   0.6445  |               |              0.4172  |
|          |      1  |      1.2363  |     0.8232  |   0.7689  |               |              0.8310  |
|          |      2  |      1.2305  |     0.8135  |   0.8194  |               |              1.2455  |
|          |      3  |      1.1426  |     0.8779  |   0.8247  |               |              1.6253  |
|          |      4  |      1.1230  |     0.8877  |   0.8013  |               |              2.0057  |
|          |      5  |      1.0781  |     0.9014  |   0.8496  |               |              2.3857  |
|          |      6  |      1.0400  |     0.9248  |   0.8839  |               |              2.7654  |
|          |      7  |      1.0205  |     0.9365  |   0.9000  |               |              3.1466  |
|          |      8  |      0.9863  |     0.9482  |   0.9186  |               |              3.5266  |
|          |      9  |      0.9292  |     0.9873  |   0.9322  |               |              3.8756  |
|          |   eval  |      0.9292  |     0.9873  |   0.9322  |       0.9388  |              4.0471  |
------------------------------------------------------------------------------------------------------
|      23  |      0  |      1.4355  |     0.7109  |   0.6188  |               |              0.4170  |
|          |      1  |      1.2998  |     0.7744  |   0.6692  |               |              0.8311  |
|          |      2  |      1.1611  |     0.8652  |   0.7485  |               |              1.2452  |
|          |      3  |      1.1572  |     0.8623  |   0.7878  |               |              1.6265  |
|          |      4  |      1.1191  |     0.8818  |   0.8354  |               |              2.0076  |
|          |      5  |      1.0996  |     0.8838  |   0.8132  |               |              2.3872  |
|          |      6  |      1.0264  |     0.9248  |   0.8813  |               |              2.7673  |
|          |      7  |      1.0049  |     0.9307  |   0.8876  |               |              3.1487  |
|          |      8  |      0.9648  |     0.9619  |   0.9170  |               |              3.5289  |
|          |      9  |      0.9224  |     0.9854  |   0.9291  |               |              3.8778  |
|          |   eval  |      0.9224  |     0.9854  |   0.9291  |       0.9382  |              4.0495  |
------------------------------------------------------------------------------------------------------
|      24  |      0  |      1.4297  |     0.7021  |   0.6923  |               |              0.4836  |
|          |      1  |      1.2314  |     0.8135  |   0.7699  |               |              0.8957  |
