------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      1  |      1.2578  |     0.7979  |   0.7906  |               |              0.8327  |
|          |      2  |      1.1514  |     0.8672  |   0.8026  |               |              1.2495  |
|          |      3  |      1.1201  |     0.8887  |   0.8427  |               |              1.6318  |
|          |      4  |      1.0928  |     0.9102  |   0.8806  |               |              2.0138  |
|          |      5  |      1.0420  |     0.9277  |   0.8877  |               |              2.3968  |
|          |      6  |      1.0146  |     0.9463  |   0.9076  |               |              2.7786  |
|          |      7  |      1.0107  |     0.9395  |   0.9085  |               |              3.1937  |
|          |      8  |      1.0020  |     0.9502  |   0.9150  |               |              3.6070  |
|          |      9  |      0.9731  |     0.9688  |   0.9190  |               |              3.9886  |
|          |   eval  |      0.9731  |     0.9688  |   0.9190  |       0.9270  |              4.1593  |
------------------------------------------------------------------------------------------------------
|      12  |      0  |      1.4316  |     0.7012  |   0.6510  |               |              0.4702  |
|          |      1  |      1.2373  |     0.8203  |   0.7906  |               |              0.8847  |
|          |      2  |      1.1689  |     0.8555  |   0.8424  |               |              1.3023  |
|          |      3  |      1.1182  |     0.8760  |   0.8406  |               |              1.6838  |
|          |      4  |      1.0791  |     0.9160  |   0.8917  |               |              2.0677  |
|          |      5  |      1.0400  |     0.9277  |   0.8915  |               |              2.4503  |
|          |      6  |      1.0107  |     0.9531  |   0.9084  |               |              2.8315  |
|          |      7  |      0.9990  |     0.9561  |   0.9072  |               |              3.2472  |
|          |      8  |      0.9800  |     0.9727  |   0.9127  |               |              3.6621  |
|          |      9  |      0.9683  |     0.9795  |   0.9171  |               |              4.0449  |
|          |   eval  |      0.9683  |     0.9795  |   0.9171  |       0.9268  |              4.2159  |
------------------------------------------------------------------------------------------------------
|      13  |      0  |      1.4307  |     0.6914  |   0.5603  |               |              0.4896  |
|          |      1  |      1.2559  |     0.8213  |   0.7528  |               |              0.9049  |
|          |      2  |      1.1787  |     0.8467  |   0.8113  |               |              1.3221  |
