------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|      11  |      0  |      1.9032  |     0.6855  |   0.6362  |               |              0.4769  |
|          |      1  |      1.7781  |     0.8008  |   0.7389  |               |              0.8929  |
|          |      2  |      1.7307  |     0.8438  |   0.8176  |               |              1.3121  |
|          |      3  |      1.7176  |     0.8662  |   0.8242  |               |              1.6944  |
|          |      4  |      1.7119  |     0.8672  |   0.8634  |               |              2.0809  |
|          |      5  |      1.6810  |     0.8945  |   0.8714  |               |              2.4639  |
|          |      6  |      1.6529  |     0.9131  |   0.9007  |               |              2.8490  |
|          |      7  |      1.3851  |     0.9160  |   0.8775  |               |              3.2338  |
|          |      8  |      0.7004  |     0.9248  |   0.8792  |               |              3.6176  |
|          |      9  |      0.1531  |     0.9775  |   0.9293  |               |              3.9718  |
|          |   eval  |      0.1531  |     0.9775  |   0.9293  |       0.9375  |              4.1441  |
------------------------------------------------------------------------------------------------------
|      12  |      0  |      1.8838  |     0.6934  |   0.6533  |               |              0.4686  |
|          |      1  |      1.7787  |     0.8174  |   0.7703  |               |              0.8865  |
|          |      2  |      1.7423  |     0.8398  |   0.8011  |               |              1.3046  |
|          |      3  |      1.7244  |     0.8535  |   0.8039  |               |              1.6885  |
|          |      4  |      1.7013  |     0.8721  |   0.8432  |               |              2.0734  |
|          |      5  |      1.6815  |     0.8857  |   0.8737  |               |              2.4577  |
|          |      6  |      1.6540  |     0.9229  |   0.8928  |               |              2.8439  |
|          |      7  |      1.3761  |     0.9316  |   0.8907  |               |              3.2284  |
|          |      8  |      0.6663  |     0.9482  |   0.9055  |               |              3.6123  |
|          |      9  |      0.1574  |     0.9746  |   0.9306  |               |              3.9653  |
|          |   eval  |      0.1574  |     0.9746  |   0.9306  |       0.9377  |              4.1363  |
------------------------------------------------------------------------------------------------------
|      13  |      0  |      1.8950  |     0.6719  |   0.6215  |               |              0.4540  |
|          |      1  |      1.7956  |     0.7930  |   0.7585  |               |              0.8706  |
|          |      2  |      1.7627  |     0.8115  |   0.7675  |               |              1.2912  |
|          |      3  |      1.7186  |     0.8604  |   0.8437  |               |              1.6748  |
|          |      4  |      1.6934  |     0.8906  |   0.8703  |               |              2.0616  |
|          |      5  |      1.6711  |     0.8975  |   0.8655  |               |              2.4457  |
|          |      6  |      1.6537  |     0.9170  |   0.8899  |               |              2.8296  |
