------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |   eval  |      0.9380  |     0.9795  |   0.9304  |       0.9393  |              4.1104  |
------------------------------------------------------------------------------------------------------
|      13  |      0  |      1.4131  |     0.7158  |   0.7013  |               |              0.4219  |
|          |      1  |      1.2734  |     0.7969  |   0.7837  |               |              0.8429  |
|          |      2  |      1.1992  |     0.8320  |   0.7844  |               |              1.2657  |
|          |      3  |      1.1338  |     0.8701  |   0.8337  |               |              1.6515  |
|          |      4  |      1.1113  |     0.8906  |   0.8613  |               |              2.0411  |
|          |      5  |      1.0840  |     0.8994  |   0.8557  |               |              2.4279  |
|          |      6  |      1.0469  |     0.9180  |   0.8853  |               |              2.8159  |
|          |      7  |      1.0146  |     0.9414  |   0.9029  |               |              3.2039  |
|          |      8  |      0.9570  |     0.9639  |   0.9188  |               |              3.5908  |
|          |      9  |      0.9419  |     0.9795  |   0.9293  |               |              3.9488  |
|          |   eval  |      0.9419  |     0.9795  |   0.9293  |       0.9370  |              4.1207  |
------------------------------------------------------------------------------------------------------
|      14  |      0  |      1.4141  |     0.7188  |   0.6633  |               |              0.4230  |
|          |      1  |      1.2510  |     0.8311  |   0.7325  |               |              0.8449  |
|          |      2  |      1.2041  |     0.8418  |   0.8209  |               |              1.2660  |
|          |      3  |      1.1680  |     0.8604  |   0.8011  |               |              1.6521  |
|          |      4  |      1.1006  |     0.8867  |   0.8027  |               |              2.0403  |
|          |      5  |      1.0791  |     0.9053  |   0.8542  |               |              2.4273  |
|          |      6  |      1.0410  |     0.9287  |   0.8857  |               |              2.8131  |
|          |      7  |      1.0137  |     0.9326  |   0.8934  |               |              3.2007  |
|          |      8  |      0.9790  |     0.9600  |   0.9142  |               |              3.5871  |
|          |      9  |      0.9448  |     0.9746  |   0.9289  |               |              3.9429  |
|          |   eval  |      0.9448  |     0.9746  |   0.9289  |       0.9383  |              4.1143  |
------------------------------------------------------------------------------------------------------
|      15  |      0  |      1.4316  |     0.7178  |   0.6581  |               |              0.4219  |
|          |      1  |      1.2686  |     0.7842  |   0.7663  |               |              0.8438  |
|          |      2  |      1.1953  |     0.8447  |   0.7710  |               |              1.2654  |
|          |      3  |      1.1221  |     0.8838  |   0.7681  |               |              1.6519  |
|          |      4  |      1.1445  |     0.8613  |   0.8499  |               |              2.0405  |
|          |      5  |      1.1035  |     0.8887  |   0.8125  |               |              2.4269  |
|          |      6  |      1.0430  |     0.9248  |   0.8754  |               |              2.8146  |
|          |      7  |      1.0215  |     0.9326  |   0.8905  |               |              3.2012  |
|          |      8  |      0.9883  |     0.9463  |   0.9176  |               |              3.5885  |
|          |      9  |      0.9434  |     0.9805  |   0.9330  |               |              3.9440  |
|          |   eval  |      0.9434  |     0.9805  |   0.9330  |       0.9394  |              4.1153  |
------------------------------------------------------------------------------------------------------
|      16  |      0  |      1.4150  |     0.7148  |   0.6423  |               |              0.4241  |
|          |      1  |      1.2324  |     0.8330  |   0.7541  |               |              0.8461  |
